Id,Price
4567,167824.75679845916
5925,124994.09354223157
960,144993.80349873143
3848,114863.8241363614
746,165858.63939258386
868,331832.1136097029
672,121945.82036257932
2471,199913.6862196411
4510,132691.43771066092
8354,233213.11527286057
6393,177200.62776456465
13270,229370.15677966975
5250,344277.7100264351
16751,167003.08804131558
11404,130370.87655570378
10588,348863.3066986936
14925,198645.93347859016
6791,225055.55276170818
16097,193223.1653049757
16428,383144.7632508574
6945,351925.3556103854
3190,195333.09535546598
15709,448476.29845465533
13155,180924.9521655062
7675,192171.46168587412
14686,225491.09808741516
609,154670.33009254732
11155,174199.69151647517
10869,168716.28396210689
15742,191616.2361845392
9245,203562.81278917522
3340,183587.44108034202
2359,283627.59592508397
8070,211763.88360973378
13707,130261.82634431207
16079,265519.07503351924
15937,295283.62824254466
14090,193456.94007634092
9008,201609.78188430937
16384,174346.21112262103
11657,245233.54249573307
13151,148140.65653208693
8990,151969.05669263683
11857,184567.60388247587
1565,140344.46745861543
8174,92454.59268638564
9247,247123.82817619623
10478,215481.14300687282
15509,137798.2682526528
8306,197557.95909232146
6642,195161.93758967132
7472,217651.51892265351
15989,132985.11511489787
13682,122909.88408103299
163,265029.9318167032
7076,195564.3510877515
7478,336952.85263274895
3029,195346.95165239903
1814,139537.08065042534
10057,132144.43557798225
15100,196909.96359316958
12694,223641.80162391945
6291,190944.01884455714
12603,177153.80315544904
3218,224838.4465539953
13456,127339.42536482033
10170,228069.78644556567
4530,120357.08572281494
13329,163466.47795643672
4820,151326.39725038572
10896,167824.00902735346
13416,118489.65613592113
2701,221243.55900995422
11265,337367.32656381495
9189,259749.74010710279
1858,166798.90201051717
14536,237964.26171186022
6199,306768.26381595357
14730,154389.28621468274
7510,277505.2317335305
15505,166975.66801017214
7446,177057.6020994234
14016,180804.95000995157
14113,101344.35264644607
8721,322008.7271906043
6193,298085.67755508516
5717,172139.41255006462
5427,325685.1364557517
9520,508871.60145912034
6869,97227.57096964847
1658,155724.1733116407
6639,214014.62324347947
6283,188136.72985209955
6257,128086.5776485501
15235,171198.65253893728
902,221903.28180635368
8932,184807.52638280296
16469,314968.8076862595
2825,268656.52814145805
6450,458073.0505056851
11366,174055.29381948436
3801,353770.25034341315
11385,191437.2639487394
1079,189259.91925668987
3202,213753.2128758384
676,224103.26221241255
6185,277746.30625849543
7730,166531.32243682645
2573,183249.1483818368
10978,207320.2549687056
10962,258849.05429136805
8870,201035.64119468693
8496,179473.457506169
5517,167458.96992531154
927,189860.53038650652
13675,198803.1554373865
1499,227957.59557016805
15536,309294.2185248022
